product_id,sku,post_title,total_sales,price
4164,13453,Parés Baltà Penedès Mas Petit 2015,20.0,7.6
4072,12045,Château de Vaudieu Châteauneuf-du-Pape Blanc 2015,1.0,32.0
4069,11862,Gilles Robin Hermitage Rouge 2012,0.0,60.0
4657,11847,Thierry Germain Saumur-Champigny Outre Terre 2014,0.0,43.0
4970,11225,Champagne Larmandier-Bernier Terre de Vertus Premier Cru 2011,0.0,49.5
4709,10775,Albert Mann Pinot Gris Vendanges Tardives Altenbourg 2011,0.0,44.0
4617,10459,Alphonse Mellot Sancerre Rouge Génération XIX 2011,0.0,67.5
4149,7086,Champagne Mailly Grand Cru Intemporelle Rosé 2009,0.0,69.0
4730,5646,Domaine Muré Crémant d'Alsace Cuvée Prestige,0.0,14.3
4633,804,Marcel Windholtz Eau de Vie de Mirabelle d'Alsace Réserve Particulière,3.0,52.4
4239,16567,Domaine Augustin Collioure Blanc Adéodat 2019,0.0,28.0
4647,16525,Bernard Baudry Chinon Rouge La Croix Boissée 2017,8.0,28.5
4050,16449,Pierre Gaillard Saint-Joseph Blanc 2019,6.0,21.8
4933,16281,Marcel Richaud Cairanne Rouge 2018,0.0,18.4
4867,16148,Château De La Selve IGP Coteaux de l'Ardèche Maguelonne Rosé 2019,1.0,9.9
4673,16057,Domaine Pellé Sancerre Rouge La Croix Au Garde 2017,0.0,19.8
4051,16045,Jeanne Gaillard IGP Collines Rhodaniennes Syrah Terre de Mandrin 2018,6.0,7.7
4681,15933,Domaine de Joy Côtes de Gascogne Blanc Moelleux Saint-André 2018,12.0,7.1
7023,15891,Camin Larredya Jurançon Sec La Virada 2018,0.0,27.5
4614,15875,Gilbert Picq Chablis En Vaudécorse 2017,11.0,19.0
4886,15773,Saumaize-Michelin Pouilly-Fuissé Clos sur la Roche 2018,5.0,28.4
4788,15731,Maurice Schoech Pinot Gris 2018,3.0,12.3
5377,15677,Argentine Alamos Catena Malbec 2017,0.0,19.0
4912,15612,Jean-Baptiste Arena Patrimonio Rouge Grotte Di Sole 2018,6.0,25.9
4231,15461,Argentine Mendoza Alamos Malbec 2018,1.0,11.1
4108,15353,Zind-Humbrecht Riesling Herrenweg de Turckheim 2017,2.0,31.7
5922,15343,Albert Mann Pinot Noir Clos de la Faille 2017,17.0,48.5
5827,15328,Agnès Levet Côte Rôtie Maestria 2017,3.0,55.0
4861,15307,Philippe Nusswitz Duché d'Uzès Orénia Rouge 2017,29.0,8.5
5912,15227,Kingsbarns Distillery Lowland Single Malt Whisky,0.0,57.0
5395,15095,Chili Errazuriz Cabernet Sauvignon 2016,0.0,12.7
4251,15032,Domaine Saint-Denis Bourgogne Rouge Le Clos 2017,8.0,14.1
4977,14930,Château Lafont Menaut Pessac-Leognan Blanc 2017,3.0,16.3
6126,14923,Champagne Gosset Célébris Vintage 2007,2.0,135.0
4757,14680,Domaine Saint-Nicolas Fiefs Vendéens Blanc Le Haut des Clous 2017,6.0,26.5
5817,14600,Maison Trimbach Riesling Grand Cru Geisberg 2012,0.0,57.6
6129,14570,Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017,0.0,5.2
6104,14092,Stéphane Tissot Arbois Blanc Savagnin 2015,0.0,33.2
6105,14090,Stéphane Tissot Côtes du Jura Sursis 2017,7.0,34.8
5389,13904,Australie Maverick Breechens Blend 2012,0.0,16.1
4079,13078,Le Vieux Donjon Châteauneuf-du-Pape 2013,0.0,37.0
4073,13074,Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015,0.0,77.8
6041,13073,Château de Vaudieu Châteauneuf-du-Pape Amiral G 2015,0.0,71.7
4076,13072,Plateau des Chênes Lirac 2016,4.0,14.05
4348,12586,Champagne Egly-Ouriet Grand Cru Brut Tradition,0.0,59.0
5397,12496,Chili De Martino Viejas Tinajas Cinsault 2013,0.0,24.0
6222,7032,Planeta Sicilia Passito di Noto 2016,0.0,26.4
5047,531,Champagne Petit Lebrun &amp; Fils Blanc de Blancs Grand Cru,13.0,22.5
5565,19822,Tempier Bandol Cabassaou 2017,0.0,92.0
6279,16247,Borie de Maurel Minervois Rouge Maxime 2003,0.0,45.9
5566,16192,Le Pas de l'Escalette Terrasses du Larzac Le Grand Pas 2018,0.0,27.5
6042,16159,Domaine La Croix Belle Côtes de Thongue Rosé Les Grillons 2019,18.0,8.5
4662,16081,Pierre Martin Sancerre Les Monts Damnés 2018,0.0,20.8
4974,16004,Château du Couvent Pomerol 2017,5.0,23.0
4306,15949,Domaine de l'Idylle Roussette de Savoie Anne de Chypre 2018,1.0,10.7
4723,15879,François Baur Pinot Noir Sang Du Dragon 2017,3.0,29.0
5004,15871,David Duband Vosne Romanée 2017,2.0,59.4
5520,15863,Domaine Chambeyron Côte Rôtie La Chavarine 2017,2.0,38.6
5522,15861,Domaine Chambeyron Côte Rôtie L'Angéline 2017,1.0,48.4
4621,15849,Bernard Baudry Chinon Rouge Les Grézeaux 2017,9.0,16.5
4244,15770,La Préceptorie Côtes du Roussillon Coume Marie 2018,5.0,13.5
4102,15767,Emile Boeckel Sylvaner Grand Cru Zotzenberg 2017,1.0,16.3
4220,15758,Xavier Frissant Touraine Amboise Chenin Les Pierres 2018,12.0,11.6
