product_id,post_title,price,total_sales,ca_produit
5383,Nouvelle-Zélande Marlborough Kim Crawford Sauvignon Blanc 2015,19.5,0.0,0.0
4141,Champagne Gosset Grande Réserve,39.0,40.0,1560.0
4299,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018,39.1,0.0,0.0
4068,Gilles Robin Crozes-Hermitage Rouge Papillon 2019,16.6,62.0,1029.2
4686,Cosse Maisonneuve Cahors Solis 2018,14.0,2.0,28.0
4198,Moulin de Gassac IGP Pays d'Hérault Guilhem Rouge 2019,5.8,0.0,0.0
4268,Domaine Bulliat Morgon Le Colombier 2019,15.2,1.0,15.2
5480,Domaine Bulliat Chiroubles Cuvée Félix 2019,10.4,1.0,10.4
4232,Argentine Mendoza Alamos Chardonnay 2019,11.1,2.0,22.2
4755,Domaine de Montgilet Vin de France Grolleau 2019,7.4,0.0,0.0
6665,Domaine Hauvette IGP Alpilles Jaspe 2017,27.7,1.0,27.7
4669,Domaine Pellé Menetou Salon Blanc Le Carroir 2018,20.2,1.0,20.2
4048,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,22.8,7.0,159.6
4066,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,20.8,20.0,416.0
4064,Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017,14.4,3.0,43.2
4892,Jacqueson Rully Rouge Les Chaponnières 2018,20.1,3.0,60.300000000000004
5764,Parcé Frères Collioure Rouge Petit Gus 2018,12.9,12.0,154.8
6629,Weingut Besson-Strasser Zürich Pinot Noir Cholfirst 2017,37.7,1.0,37.7
4168,Ollieux Romanis Corbières Blanc Cuvée Prestige 2018,18.2,12.0,218.39999999999998
6567,"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014",28.4,0.0,0.0
5062,Lucien Boillot Gevrey Chambertin 2017,45.0,2.0,90.0
4094,Paul Ginglinger Gewurztraminer Wahlenbourg 2017,13.7,0.0,0.0
4263,Chermette Domaine du Vissoux Fleurie Poncié 2018,15.8,0.0,0.0
4192,Château de La Liquière Faugères Cistus Rouge 2017,17.8,5.0,89.0
4687,Cosse-Maisonneuve Cahors Le Sid 2014,30.1,0.0,0.0
4934,Marcel Richaud Rasteau Rouge 2017,22.2,2.0,44.4
6095,Château de Villeneuve Saumur-Champigny Le Grand Clos 2017,29.8,0.0,0.0
4077,Domaine des Bosquets Gigondas 2016,22.9,0.0,0.0
4558,Domaine de Montcalmès Terrasses du Larzac Rouge 2017,28.1,3.0,84.30000000000001
4203,Mas Laval IGP Pays d'Hérault Les Pampres Blancs 2018,9.9,6.0,59.400000000000006
4665,Vincent Carême Vouvray Sec 2018,14.4,2.0,28.8
5705,Domaine Huet Vouvray Pétillant Brut 2014,19.8,2.0,39.6
4939,Oratoire Saint Martin Cairanne Blanc Réserve des Seigneurs 2018,12.9,0.0,0.0
5829,Agnès Levet Côte Rôtie Péroline 2017,57.0,3.0,171.0
4046,Pierre Gaillard Côte Rôtie Rose Pourpre 2017,80.0,6.0,480.0
4936,Domaine Rouge Garance Côtes du Rhône Blanc De Garance 2018,11.1,11.0,122.1
4708,Albert Mann Pinot Gris Grand Cru Furstentum 2016,32.6,8.0,260.8
5794,Château Fonréaud Bordeaux Blanc Le Cygne 2016,21.7,0.0,0.0
4995,Domaine Peyre Rose Oro Blanc 2002,78.0,0.0,0.0
4996,Domaine Peyre Rose Marlène N°3 2008,78.0,0.0,0.0
4907,Alphonse Mellot Coteaux Charitois Rouge Les Pénitents 2015,22.9,0.0,0.0
4752,Domaine de Montgilet Coteaux de l'Aubance Les Trois Schistes 2016,27.9,0.0,0.0
5550,Thierry Germain Saumur-Champigny La Marginale 2017,34.3,0.0,0.0
